article_title,country,revision_id,article_quality,population,region
Majah Ha Adrif,Afghanistan,1233202991,Start,42.4,SOUTH ASIA
Haroon al-Afghani,Afghanistan,1230459615,B,42.4,SOUTH ASIA
Tayyab Agha,Afghanistan,1225661708,Start,42.4,SOUTH ASIA
Khadija Zahra Ahmadi,Afghanistan,1234741562,Stub,42.4,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,1195651393,Start,42.4,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,1235521766,Start,42.4,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,1176429234,Start,42.4,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,1247931713,Start,42.4,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,1225385278,Start,42.4,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,1226326055,Start,42.4,SOUTH ASIA
Ismael Balkhi,Afghanistan,1244521219,Start,42.4,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,1231655023,Stub,42.4,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,1237694188,Start,42.4,SOUTH ASIA
Jan Baz,Afghanistan,1227635806,Stub,42.4,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,1248505877,Start,42.4,SOUTH ASIA
Rafiullah Bidar,Afghanistan,1197443408,Stub,42.4,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,1134129082,Stub,42.4,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,1193992206,Start,42.4,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,988838315,Stub,42.4,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,949986748,Stub,42.4,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,1158302291,Stub,42.4,SOUTH ASIA
Aimal Faizi,Afghanistan,1185105938,Stub,42.4,SOUTH ASIA
Gajinder Singh Safri,Afghanistan,1212323536,Stub,42.4,SOUTH ASIA
Sharif Ghalib,Afghanistan,1245967190,Start,42.4,SOUTH ASIA
Hashmat Ghani Ahmadzai,Afghanistan,1207743719,C,42.4,SOUTH ASIA
Abdul Ghani Ghani,Afghanistan,1227026187,Stub,42.4,SOUTH ASIA
Ghulam Ghaus,Afghanistan,1158659195,Stub,42.4,SOUTH ASIA
Ghulam Muhammad Ghobar,Afghanistan,1240993642,Stub,42.4,SOUTH ASIA
Mohammad Gul (Helmand Council),Afghanistan,1136611354,Stub,42.4,SOUTH ASIA
Sayed Yousuf Halim,Afghanistan,1234514565,Stub,42.4,SOUTH ASIA
Rangina Hamidi,Afghanistan,1234743111,C,42.4,SOUTH ASIA
Sayed Zafar Hashemi,Afghanistan,1179137138,Start,42.4,SOUTH ASIA
Qutbuddin Hilal,Afghanistan,1246566795,Start,42.4,SOUTH ASIA
Mahboba Hoqomal,Afghanistan,1243745950,Stub,42.4,SOUTH ASIA
Musa Hotak,Afghanistan,1246566804,Start,42.4,SOUTH ASIA
Mirza Muhammad Ismail,Afghanistan,1235165845,C,42.4,SOUTH ASIA
Sayed Jalal,Afghanistan,1137130537,Start,42.4,SOUTH ASIA
Said Tayeb Jawad,Afghanistan,1248976824,C,42.4,SOUTH ASIA
Sayed Jalal Karim,Afghanistan,1136614743,Start,42.4,SOUTH ASIA
Hafizullah Shabaz Khail,Afghanistan,1238402857,Start,42.4,SOUTH ASIA
Masoud Khalili,Afghanistan,1246566971,GA,42.4,SOUTH ASIA
Mohammad Khan (athlete),Afghanistan,1247727443,Stub,42.4,SOUTH ASIA
Samoud Khan,Afghanistan,1195409073,Start,42.4,SOUTH ASIA
Baran Khan Kudezai,Afghanistan,1176481824,Start,42.4,SOUTH ASIA
Azizullah Lodin,Afghanistan,1247762293,Start,42.4,SOUTH ASIA
Razaq Mamoon,Afghanistan,1227180106,Start,42.4,SOUTH ASIA
Fazel Ahmed Manawi,Afghanistan,1234514379,Start,42.4,SOUTH ASIA
Moeen Marastial,Afghanistan,1246567093,Start,42.4,SOUTH ASIA
Ahmad Wali Massoud,Afghanistan,1221720658,Start,42.4,SOUTH ASIA
Mohammad Daud Miraki,Afghanistan,1227103354,C,42.4,SOUTH ASIA
